"Price","Mileage","City","State","Make","Model","vehicle age"
"43517","4531","Morton Grove"," IL","Acura","MDXSH-AWD","3.0"
"35898","4533","Roswell"," GA","Acura","TLXFWD","3.0"
"28490","4546","Virginia Beach"," VA","Acura","TLXFWD","3.0"
"26981","4546","Bethesda"," MD","Acura","TLXFWD","3.0"
"26500","4549","Austin"," TX","Acura","ILXTechnology","3.0"
"28375","4550","Chantilly"," VA","Acura","TLXFWD","3.0"
"34995","4552","Overland Park"," KS","Acura","TLXFWD","3.0"
"46990","4557","Chapel Hill"," NC","Acura","MDXFWD","3.0"
"28995","4562","Brentwood"," TN","Acura","TLXFWD","3.0"
"28376","4590","Chantilly"," VA","Acura","TLXFWD","3.0"
"36420","4614","West Chester"," PA","Acura","RDXAWD","3.0"
"35900","4617","Houston"," TX","Acura","RDXAWD","5.0"
"31995","4618","Overland Park"," KS","Acura","TLXFWD","3.0"
"42998","4620","Playa Vista"," CA","Acura","MDXSH-AWD","4.0"
"21950","4622","El Cajon"," CA","Acura","ILXAcuraWatch","3.0"
"29490","4626","Orland Park"," IL","Acura","TLXFWD","3.0"
"32866","4638","Plantation"," FL","Acura","RDXFWD","3.0"
"31771","4655","Naperville"," IL","Acura","TLXFWD","3.0"
"25998","4659","San Juan"," TX","Acura","ILXAutomatic","3.0"
"52487","4659","Springfield"," NJ","Acura","MDXSH-AWD","3.0"
"47900","4661","Cary"," NC","Acura","MDXSH-AWD","4.0"
"42997","4665","Austin"," TX","Acura","MDXFWD","3.0"
"22500","4671","Chicago"," IL","Acura","ILXAcuraWatch","3.0"
"32995","4680","Little Rock"," AR","Acura","TLXFWD","3.0"
"45000","4685","Verona"," NJ","Acura","MDXSH-AWD","3.0"
"26324","4698","Sanford"," FL","Acura","ILXTechnology","3.0"
"27995","4700","Cerritos"," CA","Acura","ILXAutomatic","4.0"
